iter	RMSE
0	1809.330907
1	1649.611211
2	1508.989398
3	1379.011418
4	1268.407412
5	1168.357778
6	1079.270058
7	1002.70454
8	933.0422767
9	871.737583
10	817.1968849
11	770.5052801
12	730.5125074
13	694.9612536
14	663.5834049
15	636.731466
16	614.8393462
17	596.1942862
18	579.3868438
19	565.2876519
20	552.9220317
21	542.5766234
22	533.3821509
23	525.9187625
24	519.2893881
25	513.1884062
26	508.033197
27	503.8286906
28	499.8428715
29	496.5363698
30	493.7713543
31	491.0078695
32	488.5456817
33	486.2199815
34	484.0191806
35	481.892042
36	479.9949323
37	478.223432
38	476.921243
39	475.4723426
40	474.109087
41	473.2395496
42	471.9691487
43	470.7120009
44	469.5939348
45	468.4465156
46	467.6549045
47	466.6635036
48	465.9291569
49	465.1402196
50	464.2483457
51	463.3374017
52	462.4875385
53	461.9329326
54	461.129583
55	460.5482347
56	459.8182447
57	459.2287563
58	458.39893
59	458.0323838
60	457.4646349
61	456.9457566
62	456.4079746
63	455.7898713
64	455.0885468
65	454.3720317
66	453.9926488
67	453.6323066
68	453.259289
69	452.8903362
70	452.4013223
71	451.8839352
72	451.3219429
73	450.7780896
74	450.259259
75	449.9781168
76	449.4447152
77	449.1147186
78	448.7631203
79	447.9334174
80	447.5884947
81	447.2291328
82	446.7280893
83	446.3901012
84	445.9473928
85	445.5426428
86	444.9094081
87	444.1684296
88	443.8222196
89	443.4061383
90	442.5400114
91	442.0563786
92	441.7043278
93	441.2407446
94	440.8588027
95	440.5216802
96	440.1408014
97	439.8070182
98	439.5026068
99	439.2535898
