iter	Passed	Remaining
0	165	16427
1	198	9725
2	230	7444
3	260	6251
4	294	5588
5	323	5061
6	349	4645
7	369	4250
8	390	3950
9	412	3710
10	426	3453
11	438	3219
12	448	2999
13	457	2809
14	466	2643
15	475	2497
16	485	2370
17	493	2249
18	503	2147
19	512	2048
20	522	1964
21	531	1884
22	540	1809
23	550	1743
24	559	1678
25	569	1620
26	579	1565
27	587	1510
28	597	1462
29	605	1413
30	615	1370
31	624	1327
32	633	1286
33	643	1249
34	651	1210
35	661	1175
36	670	1140
37	680	1109
38	689	1078
39	699	1048
40	708	1019
41	717	990
42	728	965
43	737	939
44	747	913
45	756	888
46	765	863
47	775	839
48	783	815
49	793	793
50	803	771
51	811	749
52	821	728
53	830	707
54	839	687
55	849	667
56	859	648
57	869	629
58	878	610
59	887	591
60	897	573
61	906	555
62	916	538
63	924	520
64	934	503
65	945	487
66	955	470
67	967	455
68	978	439
69	988	423
70	1000	408
71	1011	393
72	1020	377
73	1031	362
74	1040	346
75	1049	331
76	1059	316
77	1068	301
78	1078	286
79	1088	272
80	1097	257
81	1107	243
82	1116	228
83	1126	214
84	1134	200
85	1144	186
86	1153	172
87	1161	158
88	1171	144
89	1180	131
90	1189	117
91	1198	104
92	1208	90
93	1218	77
94	1226	64
95	1236	51
96	1244	38
97	1254	25
98	1264	12
99	1269	0
