holiday,temp,clouds_all,weather_main,weekday,hour,month,hour_category
1,15.129999999999995,40,1,1,9,10,4
1,16.210000000000036,75,1,1,10,10,4
1,16.430000000000007,90,1,1,11,10,4
1,16.980000000000018,90,1,1,12,10,0
1,17.99000000000001,75,1,1,13,10,0
1,18.57000000000005,1,0,1,14,10,0
1,20.02000000000004,1,0,1,15,10,0
1,20.710000000000036,1,0,1,16,10,2
1,20.99000000000001,20,1,1,17,10,2
1,19.950000000000045,20,1,1,18,10,2
1,17.82000000000005,20,1,1,19,10,2
1,16.230000000000018,1,0,1,20,10,5
1,15.460000000000036,1,0,1,21,10,5
1,14.010000000000048,1,0,1,22,10,5
1,12.300000000000011,1,0,1,23,10,5
1,11.480000000000018,1,0,2,0,10,3
1,10.32000000000005,1,0,2,1,10,3
1,8.03000000000003,1,0,2,2,10,3
1,7.939999999999998,1,0,2,3,10,3
1,6.3799999999999955,1,0,2,4,10,1
1,5.470000000000027,1,0,2,5,10,1
1,5.080000000000041,1,0,2,6,10,1
1,4.970000000000027,1,0,2,8,10,4
1,9.330000000000041,1,0,2,9,10,4
1,18.82000000000005,1,0,2,12,10,0
1,20.08000000000004,1,0,2,13,10,0
1,21.160000000000025,1,0,2,14,10,0
1,22.02000000000004,1,0,2,15,10,0
1,21.980000000000018,1,0,2,16,10,2
1,20.510000000000048,20,1,2,18,10,2
1,17.5,20,1,2,19,10,2
1,15.04000000000002,20,1,2,20,10,5
1,13.950000000000045,1,0,2,21,10,5
1,13.100000000000023,1,0,2,22,10,5
1,12.110000000000014,1,0,2,23,10,5
1,11.400000000000034,1,0,3,0,10,3
1,10.32000000000005,1,0,3,1,10,3
1,10.020000000000039,1,0,3,2,10,3
1,8.890000000000043,1,0,3,3,10,3
1,8.54000000000002,1,0,3,4,10,1
1,8.170000000000016,1,0,3,5,10,1
1,7.590000000000032,1,0,3,6,10,1
1,7.420000000000016,1,0,3,7,10,1
1,8.710000000000036,1,0,3,8,10,4
1,11.830000000000041,1,0,3,9,10,4
1,16.03000000000003,1,0,3,10,10,4
1,18.400000000000034,1,0,3,11,10,4
1,21.82000000000005,1,0,3,12,10,0
1,23.230000000000018,1,0,3,13,10,0
1,24.170000000000016,1,0,3,14,10,0
1,25.02000000000004,1,0,3,15,10,0
1,24.910000000000025,20,1,3,16,10,2
1,24.52000000000004,20,1,3,17,10,2
1,23.210000000000036,40,1,3,18,10,2
1,20.700000000000045,40,1,3,19,10,2
1,19.28000000000003,40,1,3,20,10,5
1,18.620000000000005,75,1,3,21,10,5
1,18.210000000000036,75,1,3,22,10,5
1,17.970000000000027,75,1,3,23,10,5
1,17.480000000000018,75,1,4,0,10,3
1,17.310000000000002,40,1,4,1,10,3
1,16.110000000000014,0,0,4,3,10,3
1,10.060000000000002,75,1,4,5,10,1
1,9.090000000000032,90,1,4,6,10,1
1,8.54000000000002,90,1,4,7,10,1
1,7.420000000000016,90,1,4,8,10,4
1,6.8700000000000045,75,1,4,9,10,4
1,6.960000000000036,75,1,4,10,10,4
1,6.850000000000023,90,1,4,11,10,4
1,7.3799999999999955,90,1,4,12,10,0
1,8.28000000000003,75,1,4,13,10,0
1,8.629999999999995,90,1,4,14,10,0
1,8.760000000000048,90,1,4,15,10,0
1,8.580000000000041,90,1,4,16,10,2
1,8.270000000000039,90,1,4,17,10,2
1,7.720000000000027,90,1,4,18,10,2
1,7.0,90,1,4,19,10,2
1,6.6299999999999955,90,1,4,20,10,5
1,6.5,75,1,4,21,10,5
1,6.07000000000005,40,1,4,22,10,5
1,5.910000000000025,40,1,4,23,10,5
1,5.660000000000025,90,1,5,0,10,3
1,5.400000000000034,90,1,5,1,10,3
1,5.439999999999998,90,1,5,2,10,3
1,3.840000000000032,75,1,5,4,10,1
1,3.2000000000000455,20,1,5,5,10,1
1,2.25,1,0,5,6,10,1
1,2.0200000000000387,1,0,5,7,10,1
1,1.8400000000000318,1,0,5,8,10,4
1,1.9399999999999977,40,1,5,9,10,4
1,3.730000000000018,20,1,5,10,10,4
1,4.890000000000043,20,1,5,11,10,4
1,5.930000000000007,40,1,5,12,10,0
1,6.970000000000027,75,1,5,13,10,0
1,7.100000000000023,75,1,5,14,10,0
1,6.850000000000023,75,1,5,15,10,0
1,5.910000000000025,90,1,5,16,10,2
1,5.760000000000048,90,1,5,17,10,2
1,5.240000000000009,90,1,5,18,10,2
1,5.010000000000048,90,1,5,19,10,2
1,5.010000000000048,90,1,5,20,10,5
1,4.78000000000003,90,1,5,21,10,5
1,3.75,90,1,5,22,10,5
1,3.1899999999999977,75,1,5,23,10,5
1,2.9600000000000364,75,1,6,0,10,3
1,2.580000000000041,90,1,6,3,10,3
1,2.5,90,1,6,4,10,1
1,2.3600000000000136,75,1,6,5,10,1
1,1.900000000000034,90,1,6,6,10,1
1,1.6200000000000045,90,1,6,7,10,1
1,1.6200000000000045,75,1,6,8,10,4
1,2.400000000000034,75,1,6,9,10,4
1,3.090000000000032,75,1,6,10,10,4
1,3.8600000000000136,90,1,6,11,10,4
1,4.28000000000003,90,1,6,12,10,0
1,5.300000000000011,90,1,6,13,10,0
1,6.1200000000000045,90,1,6,14,10,0
1,6.1200000000000045,90,1,6,15,10,0
1,6.2900000000000205,90,1,6,16,10,2
1,6.170000000000016,90,1,6,17,10,2
1,6.1200000000000045,90,1,6,18,10,2
1,4.960000000000036,90,1,6,19,10,2
1,3.640000000000043,75,1,6,20,10,5
1,2.580000000000041,90,1,6,21,10,5
1,1.7300000000000182,75,1,6,22,10,5
1,0.7700000000000387,20,1,6,23,10,5
1,-0.06999999999999318,20,1,0,0,10,3
1,-0.5299999999999727,20,1,0,1,10,3
1,-1.3700000000000045,1,0,0,2,10,3
1,-2.099999999999966,1,0,0,3,10,3
1,-2.519999999999982,1,0,0,4,10,1
1,-2.819999999999993,1,0,0,5,10,1
1,-3.5399999999999636,20,1,0,6,10,1
1,-3.1399999999999864,20,1,0,7,10,1
1,-1.919999999999959,20,1,0,8,10,4
1,0.5600000000000023,20,1,0,9,10,4
1,3.6200000000000045,20,1,0,10,10,4
1,6.32000000000005,20,1,0,11,10,4
1,6.689999999999998,1,0,0,12,10,0
1,9.189999999999998,40,1,0,13,10,0
1,9.79000000000002,40,1,0,14,10,0
1,10.330000000000041,1,0,0,15,10,0
1,11.180000000000007,1,0,0,16,10,2
1,11.330000000000041,40,1,0,17,10,2
1,11.080000000000041,40,1,0,18,10,2
1,8.840000000000032,20,1,0,19,10,2
1,6.660000000000025,1,0,0,20,10,5
1,6.2000000000000455,1,0,0,21,10,5
1,5.75,1,0,0,22,10,5
1,5.310000000000002,1,0,0,23,10,5
1,4.6299999999999955,1,0,1,0,10,3
1,4.1200000000000045,1,0,1,1,10,3
1,4.32000000000005,1,0,1,2,10,3
1,3.82000000000005,20,1,1,4,10,1
1,3.3700000000000045,40,1,1,5,10,1
1,3.4500000000000455,40,1,1,6,10,1
1,4.160000000000025,75,1,1,7,10,1
1,5.230000000000018,90,1,1,8,10,4
1,6.2000000000000455,90,1,1,9,10,4
1,8.220000000000027,90,1,1,10,10,4
1,9.960000000000036,90,1,1,11,10,4
1,10.930000000000007,75,1,1,12,10,0
1,11.990000000000009,75,1,1,13,10,0
1,13.200000000000045,90,1,1,14,10,0
1,14.080000000000041,100,6,1,15,10,0
1,15.379999999999995,90,1,1,16,10,2
1,17.220000000000027,90,1,1,17,10,2
1,16.980000000000018,90,1,1,18,10,2
1,15.710000000000036,75,1,1,19,10,2
1,14.210000000000036,90,1,1,20,10,5
1,11.960000000000036,90,1,1,21,10,5
1,10.310000000000002,90,1,1,22,10,5
1,9.300000000000011,90,1,1,23,10,5
1,8.730000000000018,90,1,2,0,10,3
1,8.629999999999995,90,1,2,1,10,3
1,7.939999999999998,75,1,2,2,10,3
1,8.020000000000039,90,1,2,3,10,3
1,8.100000000000023,92,0,2,6,10,1
1,8.100000000000023,99,6,2,7,10,1
1,8.100000000000023,99,2,2,7,10,1
1,6.9500000000000455,99,6,2,8,10,4
1,6.9500000000000455,99,2,2,8,10,4
1,6.460000000000036,99,6,2,9,10,4
1,6.460000000000036,99,2,2,9,10,4
1,6.520000000000039,99,0,2,10,10,4
1,7.0400000000000205,1,0,2,11,10,4
1,8.939999999999998,75,1,2,12,10,0
1,9.110000000000014,75,1,2,13,10,0
1,8.900000000000034,90,1,2,14,10,0
1,8.439999999999998,90,1,2,15,10,0
1,8.080000000000041,81,0,2,16,10,2
1,9.450000000000045,81,0,2,18,10,2
1,9.450000000000045,81,0,2,19,10,2
1,9.450000000000045,81,0,2,20,10,5
1,9.450000000000045,81,0,2,21,10,5
1,9.450000000000045,81,0,2,22,10,5
1,9.450000000000045,81,0,2,23,10,5
1,0.75,1,0,3,1,10,3
1,1.25,75,1,3,3,10,3
1,0.9000000000000341,75,1,3,4,10,1
1,0.5600000000000023,40,1,3,5,10,1
1,-0.48999999999995225,1,0,3,6,10,1
1,-0.5,1,0,3,7,10,1
1,-0.6299999999999955,1,0,3,8,10,4
1,2.0400000000000205,20,1,3,9,10,4
1,2.1899999999999977,1,0,3,10,10,4
1,10.950000000000045,50,0,3,14,10,0
1,10.950000000000045,50,0,3,15,10,0
1,10.629999999999995,75,1,3,16,10,2
1,10.370000000000005,75,1,3,17,10,2
1,10.170000000000016,90,1,3,18,10,2
1,8.910000000000025,90,1,3,19,10,2
1,8.800000000000011,90,1,3,20,10,5
1,8.660000000000025,90,1,3,21,10,5
1,9.010000000000048,90,1,3,22,10,5
1,9.379999999999995,90,1,3,23,10,5
1,10.760000000000048,90,1,4,0,10,3
1,11.490000000000009,90,1,4,1,10,3
1,11.460000000000036,90,1,4,2,10,3
1,10.03000000000003,72,2,4,3,10,3
1,9.110000000000014,72,6,4,4,10,1
1,7.6200000000000045,72,2,4,5,10,1
1,5.3799999999999955,75,1,4,6,10,1
1,4.490000000000009,75,1,4,7,10,1
1,4.75,90,1,4,8,10,4
1,5.03000000000003,90,1,4,9,10,4
1,6.140000000000043,75,1,4,10,10,4
1,7.300000000000011,75,1,4,11,10,4
1,7.800000000000011,40,1,4,12,10,0
1,8.590000000000032,40,1,4,13,10,0
1,8.689999999999998,75,1,4,14,10,0
1,9.300000000000011,75,1,4,15,10,0
1,9.050000000000011,75,1,4,16,10,2
1,8.390000000000043,40,1,4,17,10,2
1,7.060000000000002,20,1,4,18,10,2
1,9.050000000000011,56,0,4,23,10,5
1,-0.5699999999999932,1,0,5,0,10,3
1,-1.089999999999975,1,0,5,1,10,3
1,-2.159999999999968,1,0,5,2,10,3
1,-2.859999999999957,20,1,5,3,10,3
1,-3.669999999999959,1,0,5,4,10,1
1,-3.8799999999999955,1,0,5,5,10,1
1,-4.239999999999952,1,0,5,6,10,1
1,-4.169999999999959,75,1,5,7,10,1
1,-3.919999999999959,40,1,5,8,10,4
1,-0.5399999999999636,40,1,5,9,10,4
1,3.6299999999999955,20,1,5,10,10,4
1,6.07000000000005,1,0,5,11,10,4
1,7.2000000000000455,1,0,5,12,10,0
1,8.660000000000025,1,0,5,13,10,0
1,9.900000000000034,1,0,5,14,10,0
1,10.810000000000002,1,0,5,15,10,0
1,11.379999999999995,1,0,5,16,10,2
1,11.29000000000002,1,0,5,17,10,2
1,10.490000000000009,1,0,5,18,10,2
1,8.700000000000045,20,1,5,19,10,2
1,8.230000000000018,1,0,5,20,10,5
1,8.689999999999998,75,1,5,21,10,5
1,9.080000000000041,90,1,5,22,10,5
1,9.03000000000003,90,1,5,23,10,5
1,9.340000000000032,90,1,6,0,10,3
1,9.390000000000043,90,1,6,1,10,3
1,9.430000000000007,90,1,6,2,10,3
1,9.080000000000041,90,1,6,3,10,3
1,8.930000000000007,90,1,6,4,10,1
1,9.080000000000041,90,1,6,5,10,1
1,9.090000000000032,90,1,6,6,10,1
1,9.090000000000032,90,1,6,7,10,1
1,9.090000000000032,57,5,6,8,10,4
1,9.28000000000003,57,2,6,9,10,4
1,9.28000000000003,57,5,6,9,10,4
1,9.28000000000003,57,4,6,9,10,4
1,9.180000000000007,57,2,6,10,10,4
1,9.180000000000007,57,5,6,10,10,4
1,9.670000000000016,57,2,6,11,10,4
1,9.670000000000016,57,5,6,11,10,4
1,10.180000000000007,57,5,6,12,10,0
1,10.180000000000007,57,6,6,12,10,0
1,10.180000000000007,57,2,6,12,10,0
1,10.600000000000023,93,6,6,13,10,0
1,10.600000000000023,93,5,6,13,10,0
1,10.600000000000023,93,2,6,13,10,0
1,10.939999999999998,93,5,6,14,10,0
1,10.939999999999998,93,6,6,14,10,0
1,10.939999999999998,93,2,6,14,10,0
1,11.400000000000034,93,5,6,15,10,0
1,11.400000000000034,93,6,6,15,10,0
1,11.53000000000003,93,5,6,16,10,2
1,11.490000000000009,93,6,6,17,10,2
1,11.490000000000009,93,5,6,17,10,2
1,11.25,93,5,6,18,10,2
1,11.020000000000039,93,5,6,19,10,2
1,10.879999999999995,93,5,6,20,10,5
1,10.430000000000007,93,5,6,21,10,5
1,9.890000000000043,93,5,6,22,10,5
1,8.800000000000011,93,5,6,23,10,5
1,8.800000000000011,93,3,6,23,10,5
1,8.460000000000036,93,5,0,0,10,3
1,8.460000000000036,93,3,0,0,10,3
1,8.420000000000016,85,3,0,1,10,3
1,8.270000000000039,85,3,0,2,10,3
1,8.140000000000043,85,5,0,3,10,3
1,8.140000000000043,85,3,0,3,10,3
1,7.8700000000000045,85,5,0,4,10,1
1,7.8700000000000045,85,3,0,4,10,1
1,7.670000000000016,85,5,0,5,10,1
1,7.670000000000016,85,3,0,5,10,1
1,7.240000000000009,85,5,0,6,10,1
1,7.0400000000000205,100,5,0,7,10,1
1,6.670000000000016,100,5,0,8,10,4
1,6.600000000000023,100,5,0,9,10,4
1,6.920000000000016,100,5,0,10,10,4
1,7.170000000000016,90,1,0,11,10,4
1,8.57000000000005,100,0,0,12,10,0
1,10.860000000000014,40,1,0,13,10,0
1,12.730000000000018,1,0,0,14,10,0
1,13.720000000000027,1,0,0,15,10,0
1,14.450000000000045,20,1,0,16,10,2
1,14.120000000000005,20,1,0,17,10,2
1,13.03000000000003,20,1,0,18,10,2
1,12.050000000000011,75,1,0,19,10,2
1,11.53000000000003,75,1,0,20,10,5
1,11.340000000000032,90,1,0,21,10,5
1,10.390000000000043,20,1,0,22,10,5
